id,title,link,content,gold_label
0,ادارہ 'علم دوست' کی جانب سے'معلوماتِ عامہ' کے ماہرین میں تقسیمِ ایوارڈ,https://www.express.pk/story/2733338/idara-ilmdost-ki-janib-se-malomataama-ke-expert-me-awarddistribution,ادارہ 'علم دوست' کی جانب سے'معلوماتِ عامہ' کے ممتاز ماہرین کو ایوارڈ عطا کئے گئے ہیں۔ آرٹس کونسل کراچی میں 17 میں سے 15 ایوارڈز پاکستان کوئز سوسائٹی کے ماہرین نے اپنے نام کئے جن میں عقیل عباس جعفری بھی شامل ہیں۔کراچی میں منعقدہ ایک رنگارنگ تقریب میں ادارہ علم دوست کی جانب سے تقریبِ اعزازات منعقد ہوئی جس میں جس میں معلوماتِ عامہ (جنرل نالج) کے ممتاز ماہرین سمیت دیگر اہلیان علم کو ایوارڈز دیئے گئے۔ جنرل نالج کےماہرین کو ان کے غیرمعمولی کردار کے اعتراف میں اعزازات سے نوازا گیا۔ آرٹس کونسل کراچی کے حسینہ معین ہال میں منعقدہ تقریب کی صدارت ڈاکٹر الطاف مہکاتی نے کی جبکہ ڈاکٹر منصور ظفر مہمانِ خصوصی اور ممتاز پروڈیوسر تاجدار عادل، مہمانِ اعزازی تھے لیکن وہ ناسازی طبع کی بنا پر تشریف نہ لاسکے۔اس تقریب میں پاکستان کوئز سوسائٹی انٹرنیشنل (رجسٹرڈ) سے وابستہ 15 افراد نے ایوارڈ حاصل کئے۔ ان میں بانی صدر عاصم علی قادری، ڈاکٹر عقیل عباس جعفری کو لائف ٹائم اچیومنٹ ایوارڈ عطا کئے گئے۔ 13 ماہرین میں سید جواد رضا نقوی، طاہر حبیب، ڈاکٹر جمیلہ خانم، پروفیسرابراہیم غوری، پروفیسر منور علی قریشی، سعید احمد سعید، سہیل احمد صدیقی، عارف مصطفیٰ، امان اللہ پنجوانی، اطہر رضا اجنبی، محمد عارف سومرو اور واجد رضا اصفہانی شامل ہیں۔ کوئز سوسائٹی کے سابق رکن نفیس احمد خان کو بھی بعد ازمرگ ایوارڈ دیا گیا۔ملک کے ممتاز مصنف اور دانشور فیروز ناطق خُسرو اور رضی الدین سید کو بھی لائف ٹائم اچیومنٹ ایوارڈ دیا گیا۔ واضح رہے کہ ملک کی ممتاز علمی شخصیت شبیرابنِ عادل ادارہ علم دوست کے روح رواں ہیں ان کی عدم موجودگی میں میر حسین علی امام، عطا محمد تبسم، اکبرعلی، خالد پرویزصدیقی، شاہد محی الدین، عطا الرحمان، سید عبدالباسط، اور گل بانو اس موقع پر موجود تھے جنہوں نے تقریب کو آگے بڑھایا۔ تاہم تقریب کی میزبانی کے فرائض، فرحانہ اویس نے انجام دیئے۔,Entertainment
1,فلم ساز ودھو ونود چوپڑا کی نئی فلم ’زیرو سے ری اسٹارٹ‘ کا ٹیزر جاری,https://www.express.pk/story/2733336/director-vinodchopra-ki-film-zeeroserestart-ka-teaser-release,"معروف فلم ساز ودھو ونود چوپڑا نے اپنی نئی فلم ’زیرو سے ری اسٹارٹ‘ کا ٹیزر جاری کردیا ہے۔ ٹیزر کا آغاز ایک سادہ سوال سے ہوتا ہے: ""جب آپ نے پہلا خواب دیکھا تو کیا سوچا تھا؟"" یہ سوال ہر دیکھنے والے کو ماضی کی یادوں اور بچپن کے خوابوں کی طرف لے جاتا ہے۔ ’زیرو سے ری اسٹارٹ‘ چوپڑا کی پچھلی فلم ’بارہویں فیل‘ کا تسلسل ہے، اور اس کا مقصد زندگی میں نئے آغاز کا حوصلہ دینا ہے۔ فلم کے ذریعے یہ پیغام دیا گیا ہے کہ زندگی میں کبھی بھی اپنا خواب پورا کرنے کے لیے دیر نہیں ہوتی۔ اس کہانی میں مختلف شعبوں کے افراد کے ابتدائی خوابوں اور امیدوں کو پھر سے جوڑنے کی کوشش کی گئی ہے۔ ودھو ونود چوپڑا نے فلم کے بارے میں کہا، ""ہم سب کی زندگی میں ایک 'زیرو' لمحہ ہوتا ہے، جب ہم نے پہلی بار خواب دیکھا تھا۔ یہ فلم اس لمحے کا جشن ہے اور یہ یاد دہانی بھی کہ نئے آغاز کے لیے کبھی دیر نہیں ہوتی۔"" فلم کی ریلیز کی تاریخ 13 دسمبر 2024 مقرر کی گئی ہے۔",Entertainment
2,عمر بڑھنے کے ساتھ وزن کم کرنا مشکل ہوتا ہے، ابھیشیک بچن کا دلچسپ انکشاف,https://www.express.pk/story/2733331/umer-barhane-ke-sath-weight-kam-karna-mushkil-hota-hy-abhishekbachachan,"ابھیشیک بچن نے اپنی نئی فلم ’آئی وانٹ ٹو ٹاک‘ کے میوزک لانچ کے موقع پر جسمانی تبدیلی اور کردار کی تیاری کے بارے میں دلچسپ باتیں کیں۔ فلم کے پوسٹر پر اپنے اضافی وزن کو دیکھتے ہوئے انہوں نے مزاحیہ انداز میں کہا، ""اب میں اس حالت میں نہیں ہوں، مگر یہ تجربہ بہت کچھ سکھانے والا تھا۔"" ابھیشیک نے فلم کے کردار کے لیے وزن بڑھانے کے بارے میں گفتگو کرتے ہوئے کہا کہ یہ ایک چیلنج تھا اور عمر کے ساتھ وزن کم کرنا واقعی مشکل ہوجاتا ہے۔ انہوں نے شوجیت سرکار کا شکریہ ادا کیا کہ انہوں نے انہیں ایک مختلف کردار آزمانے کا موقع دیا، جس نے انہیں اپنی روزمرہ کی زندگی کے معمولات سے باہر نکالنے میں مدد دی۔ ’آئی وانٹ ٹو ٹاک‘ کو شوجیت سرکار نے ڈائریکٹ کیا ہے اور اسے 22 نومبر 2024 کو سینما گھروں میں ریلیز کیا جائے گا۔ فلم میں ابھیشیک کے ساتھ جانی لیور بھی اہم کردار میں نظر آئیں گے۔",Entertainment
3,ملائکہ اروڑا والد کے انتقال کے بعد کام پر واپس، والد کے نام نئے پروجیکٹ کا اعلان,https://www.express.pk/story/2733327/malaikaarora-walid-ki-wafat-ke-bad-kam-par-wapis-aagyien,مشہور اداکارہ ملائکہ اروڑا حال ہی میں والد کے انتقال کے بعد دوبارہ اپنے کام میں مشغول ہوگئی ہیں۔ انہوں نے والد کی وفات کے بعد کچھ وقت کے لئے وقفہ لیا اور اپنی فیملی کے ساتھ وقت گزارا اور اپنی 49 ویں سالگرہ بھی انہوں نے سادگی سے منائی۔ اب ملائکہ اپنے مختلف پروجیکٹس پر کام کر رہی ہیں، جن میں مختلف برانڈز کے اشتہارات، ڈانس رئیلٹی شو کی جج بننا، اور ایک اسٹارٹ اپ شو میں بطور بزنس انویسٹر شامل ہونا بھی شامل ہیں۔ اداکارہ  نے اپنی زندگی میں کئی مشکل حالات کا سامنا کیا، جیسے طلاق، آن لائن تنقید، اور حالیہ ذاتی نقصان۔ انہوں نے اپنے والد کی یاد میں ایک خاص پروجیکٹ پر کام کرنے کا اعلان بھی کیا ہے۔ ۔ ملائکہ کا کہنا ہے کہ ’’یہی میرے والد چاہتے تھے کہ میں آگے بڑھوں اور زندگی میں مثبت رہوں۔‘‘,Entertainment
4,ڈائریکٹر دھرمیش درشن کا دو بار شاہ رخ خان کی فلمیں ٹھکرانے کا انکشاف,https://www.express.pk/story/2733325/directordharmaish-ka-2bar-shahrukhkhan-ki-films-thukrane-ka-inkishaf,"بالی ووڈ کے معروف ہدایتکار دھرمیش درشن نے حالیہ گفتگو میں شاہ رخ خان کے ساتھ اپنے تعلقات اور ان کی پیشکشوں کے بارے میں انکشافات کیے ہیں۔ دھرمیش درشن نے بتایا کہ شاہ رخ خان نے انہیں دو بار فلموں کی پیشکش کی تھی، مگر انہوں نے اپنی اصولوں کے باعث قبول نہیں کیں۔ انہوں نے کہا، ""2004 میں کریم مورانی ایک فلم بنانا چاہتے تھے جس میں شاہ رخ خان کو لینا تھا، مگر میں 'بےوفا' میں مصروف تھا۔ اسی طرح، شاہ رخ نے اپنی پروڈکشن کمپنی ریڈ چلیز کے تحت بھی ایک فلم کی پیشکش کی، مگر میں نے اصولی طور پر اسے رد کر دیا۔"" دھرمیش درشن نے شاہ رخ خان کی تعریف کرتے ہوئے کہا، ""وہ حقیقی اور عظیم فنکار ہیں اور اپنے ہر کامیابی کے مستحق ہیں۔ ایک سچے اسٹار ہونے کے ساتھ ساتھ ان میں کلاس اور سخاوت بھی ہے۔"" انہوں نے مزید کہا کہ ""جب بھی ہم ملتے ہیں، وہ ہمیشہ میرا احترام کرتے ہیں اور وہ کبھی ناراض نہیں ہوتے کہ میں ان کی پیشکش قبول نہیں کر پایا۔ یہ یقیناً میرا نقصان ہے کہ میں ان کے ساتھ کام نہیں کر سکا۔""",Entertainment
5,آر مادھون کی نئی فلم ’’حساب برابر‘‘ کا ورلڈ پریمیئر IFFI میں ہوگا,https://www.express.pk/story/2733323/rmadhavan-ki-new-film-hisabbrabar-ka-worldpremier-iffi-me-hoga,بالی ووڈ کے معروف اداکار آر مادھون اور نیل نیتن مکیش کی فلم ’’حساب برابر‘‘ کا ورلڈ پریمیئر 26 نومبر 2024 کو 55ویں انٹرنیشنل فلم فیسٹیول آف انڈیا (IFFI) میں ہوگا۔ جیو اسٹوڈیوز اور ایس پی سینیکورپ کی پیشکش، اس فلم کی کہانی ایک عام ریلوے ٹکٹ چیکر رادھے موہن شرما (آر مادھون) کے گرد گھومتی ہے، جو اپنی بینک اکاؤنٹ میں ایک معمولی سی بے ضابطگی کو پکڑتا ہے، جو بعد میں ایک بڑے مالیاتی فراڈ کا انکشاف بن جاتی ہے۔ نیل نیتن مکیش فلم میں مکی مہتا نامی بینکر کا کردار ادا کر رہے ہیں جو اس فراڈ میں ملوث ہے۔ جیسے جیسے رادھے کو دھوکہ دہی کے سسٹم کا سامنا ہوتا ہے، اسے اپنی ذاتی زندگی کے مسائل کا بھی سامنا کرنا پڑتا ہے۔ کرتی کلہاری بھی اہم کردار میں نظر آئیں گی، اور فلم میں انصاف، ایمانداری اور حق و باطل کے موضوعات کو اجاگر کیا گیا ہے۔ فلم کے بارے میں بات کرتے ہوئے، آر مادھون نے کہا، ’’حساب برابر صرف کرپشن کے خلاف جنگ نہیں، بلکہ ذاتی کمزوریوں سے نبرد آزما ہونے کا سفر بھی ہے۔‘‘ فلم کے ڈائریکٹر اشونی دھیر نے کہا، ’’یہ ایک سنسنی خیز فلم ہے جو عام آدمی کی جنگ کو اجاگر کرتی ہے اور ناظرین کو تفریح کے ساتھ ایک پیغام بھی دیتی ہے۔‘‘,Entertainment
6,ورون دھون اور سمنتھا کی جاسوسی سیریز نے پرائم ویڈیو پر مقبولیت کے ریکارڈ توڑ دیے,https://www.express.pk/story/2733312/varundhawan-or-samantha-ki-series-ne-primevideo-par-maqboliat-ke-record-banadie,بھارتی جاسوسی سیریز ’سائیٹیڈل ہنی بنی‘ نے پرائم ویڈیو پر ریلیز ہوتے ہی دنیا بھر میں مقبولیت کے جھنڈے گاڑ دیے۔ راج اینڈ ڈی کے کی ہدایت کاری میں بنائی گئی اس سیریز میں ورون دھون اور سمنتھا مرکزی کردار نبھا رہے ہیں۔ سیریز نے ریلیز کے پہلے ویک اینڈ میں ہی 200 ممالک میں شائقین کی توجہ حاصل کی اور 150 سے زائد ممالک میں ٹاپ 10 فہرست میں شامل رہی۔ پرائم ویڈیو انٹرنیشنل اوریجنلز کے سربراہ جیمز فیریل کا کہنا ہے کہ ویب سیریز کی کامیابی سے یہ ثابت ہوتا ہے کہ غیر انگریزی زبانوں کے مقامی مواد کو بھی عالمی سطح پر پسند کیا جا رہا ہے۔ سیریز کے بھارتی اوریجنلز کے سربراہ نکھل مدھوکھ نے بتایا کہ مقامی کہانیاں عالمی ناظرین کے دلوں پر راج کر رہی ہیں۔,Entertainment
7,برطانوی مصنفہ سمانتھا ہاروی نے 'بکر پرائز' جیت لیا,https://www.express.pk/story/2733307/britishwriter-samanthaharvay-ne-bookerprize-jeet-lia,"برطانوی مصنفہ سمانتھا ہاروی نے اپنے مختصر ناول ""آربیٹل"" کے لیے معروف بکر پرائز جیت لیا۔ یہ ناول انٹرنیشنل اسپیس اسٹیشن پر موجود چھ خلابازوں کی کہانی بیان کرتا ہے جو زمین کو دیکھتے ہوئے زندگی، خواہشات، ماحولیات اور نقصان پر غور کرتے ہیں۔ 50 ہزار پاؤنڈ انعام جیتنے والی یہ کتاب صرف 136 صفحات پر مشتمل ہے اور خلا میں ترتیب دی گئی پہلی بکر ایوارڈ یافتہ کہانی ہے۔ سمانتھا ہاروی نے اپنی کامیابی کے بعد کہا، ""میں نے یہ جیتنے کی امید نہیں کی تھی۔"" اپنی تقریر میں انہوں نے اس ایوارڈ کو ان تمام لوگوں کے نام کیا جو زمین، انسانیت، زندگی کے وقار، اور امن کے لیے آواز اٹھاتے ہیں۔ ججوں کے صدر ایڈمنڈ ڈی وال نے کہا، ""یہ ایک زخمی دنیا کی کہانی ہے، جسے سمانتھا نے منفرد اور گہری نظر سے بیان کیا۔"" یہ ناول ہاروی کا پانچواں کام ہے، جو ان کی پہلی کتاب ""دی وائلڈرنیس"" کے 15 سال بعد شائع ہوا۔",Entertainment
8,ابھیشیک کی شو’کون بنے گا کروڑ پتی‘ میں انٹری، امیتابھ بچن نے پچھتاوے کا اظہار کردیا,https://www.express.pk/story/2733305/abhishaikh-ki-kbc-main-entry-amitabh-ne-pachtawe-ka-izhar-kardia,بالی وڈ کے شہنشاہ امیتابھ بچن کے مقبول ٹی وی شو ’کون بنے گا کروڑ پتی‘ کے سیزن 16 میں جلد ہی ایک دلچسپ قسط نشر ہونے والی ہے، جس میں ان کے بیٹے، اداکار ابھیشیک بچن بطور مہمان خصوصی شرکت کریں گے۔ بھارتی میڈیا چینل کی جانب سے شیئر کیے گئے پرومو میں ابھیشیک بچن اپنے والد کی مخصوص انداز میں ’7 کروڑ روپے‘ کے اعلان کی نقل کرتے ہوئے نظر آئے، جس پر امیتابھ حیران ہو کر ہنسنے لگے۔ ابھیشیک نے مزید بتایا کہ ان کے گھر کے بچے کھانے کے دوران کسی بھی سوال کے جواب پر مل کر ’7 کروڑ روپے‘ کا نعرہ لگاتے ہیں۔ اس پر امیتابھ نے مزاحیہ انداز میں کہا،’ابھیشیک کو یہاں بلا کر بہت بڑی غلطی کردی۔‘ A post shared by Sony Entertainment Television (@sonytvofficial) واضح رہے کہ امیتابھ بچن اس سیزن کے لیے فی قسط 5 کروڑ بھارتی روپے وصول کر رہے ہیں، جب کہ گزشتہ سیزن میں ان کا معاوضہ 4 سے 5 کروڑ روپے تھا۔ شو کا یہ دلچسپ لمحہ ناظرین کو محظوظ کرنے کے لیے جلد نشر ہوگا۔,Entertainment
9,بھارتی اداکارہ رِدھی ڈوگرا کے فواد خان کے ساتھ اپنی فلم  کے حوالے سے اہم انکشافات,https://www.express.pk/story/2733300/indianactress-ridhikadogra-ke-fawadkhan-ke-sath-film-par-important-inkishfat,"بھارتی اداکارہ رِدھی ڈوگرا نے پاکستانی سپر اسٹار فواد خان کے ساتھ اپنی پہلی فلم ""عبیر گلال"" کے حوالے سے اہم انکشافات کیے ہیں۔ یہ فلم فواد خان کی بالی ووڈ میں واپسی کا نشان ہے، جو وانی کپور کے ساتھ رومانوی کہانی پر مبنی ہے۔ ایک حالیہ انٹرویو میں رِدھی نے کہا، ""میں نے فلم سائن کرنے سے پہلے قانونی طور پر تسلی کی کہ پاکستانی اداکار کے ساتھ کام کرنا بھارت میں اجازت یافتہ ہے۔"" انہوں نے مزید کہا، ""آرٹ میں کسی قسم کی سرحد یا تقسیم نہیں ہونی چاہیے، لیکن میں نے قانون کے دائرے میں رہ کر فیصلہ کیا۔"" فلم کی شوٹنگ اکتوبر 2024 میں لندن میں شروع کی گئی۔ ہدایتکارہ آرتی ایس بگدی کے مطابق، یہ فلم محبت اور زندگی کے زخموں کو بھرنے کی کہانی ہے، جہاں دونوں کردار اپنے سفر میں عشق کو دریافت کرتے ہیں۔ 2019 میں پاک بھارت کشیدگی کے دوران پاکستانی فنکاروں پر مکمل پابندی عائد کر دی گئی تھی، لیکن 2023 میں بمبئی ہائی کورٹ نے ان پابندیوں کو نرم کر دیا۔ فواد خان کا آخری بالی ووڈ پروجیکٹ ""اے دل ہے مشکل"" تھا، جس میں انہوں نے رنبیر کپور، انوشکا شرما اور ایشوریہ رائے کے ساتھ اہم کردار ادا کیا تھا۔ اب ان کی نئی فلم کا انتظار شائقین شدت سے کر رہے ہیں۔",Entertainment
